length;weight
19;113
27;455
24;370
22;235
23;240
24;273
23;259
23;226
24;312
23;216
22;220
23;262
29;508
21;211
25;293
24;351
23;208
22;214
24;274
26;357
24;307
23;225
23;251
23;225
21;187
26;319
21;207
23;247
22;187
22;220
22;200
22;224
27;330
28;499
24;227
22;181
24;244
20;155
23;230
23;275
22;240
23;290
23;264
24;253
25;314
23;211
22;186
23;264
24;307
20;135
19;137
26;360
25,9;340
25,2;320
25,4;320
27,2;430
26,5;380
22;220
24,4;320
21,2;170
21,5;190
21,2;170
25;350
25,4;340
27,4;450
28,4;340
23,4;280
28,8;460
22,7;240
27,3;450
26;370
24,9;370
27,6;420
21,5;230
27;400
