length;weight
21;120
24;210
24;230
25;240
25;250
25;240
25;230
25;220
25;230
25;240
25;240
25;240
25;240
25;250
25;250
25;250
25;250
25;280
25;230
25;240
25;250
25;270
25;440
25;220
25;250
25;250
25;230
25;240
25;260
25;280
25;280
25;300
25;240
25;250
25;250
25;260
25;260
25;260
25;260
25;270
26;230
26;260
26;270
26;270
26;270
26;280
26;280
26;280
26;280
26;290
26;260
26;260
26;270
26;260
26;270
26;290
26;260
26;280
26;280
26;280
26;280
26;280
26;280
26;290
26;290
26;290
26;300
26;300
26;300
26;260
26;260
26;270
26;270
26;270
26;290
26;290
26;290
26;290
26;290
26;300
26;300
26;320
26;240
26;270
26;270
26;270
26;290
26;290
26;290
26;290
26;320
26;260
26;280
26;290
26;290
26;300
26;270
26;280
26;280
26;290
26;300
26;300
26;310
26;320
26;330
26;260
26;290
26;290
26;290
26;290
26;290
26;300
26;300
26;300
26;310
26;340
26;260
26;280
26;280
26;290
26;300
26;300
26;300
26;310
26;310
26;320
26;320
26;320
26;330
26;330
26;340
27;280
27;280
27;290
27;300
27;300
27;300
27;310
27;320
27;280
27;280
27;290
27;290
27;300
27;310
27;310
27;320
27;360
27;280
27;300
27;310
27;320
27;270
27;280
27;290
27;290
27;290
27;290
27;290
27;300
27;300
27;300
27;310
27;320
27;300
27;300
27;300
27;300
27;310
27;310
27;310
27;310
27;320
27;320
27;320
27;330
27;340
27;260
27;300
27;300
27;300
27;300
27;310
27;310
27;320
27;320
27;320
27;320
27;330
27;340
27;350
27;290
27;300
27;300
27;310
27;310
27;320
27;340
27;350
27;300
27;300
27;310
27;310
27;320
27;320
27;320
27;330
27;330
27;340
27;340
27;340
27;350
27;280
27;290
27;290
27;310
27;320
27;320
27;320
27;320
27;330
27;330
27;330
27;340
27;340
27;350
27;360
27;280
27;290
27;300
27;320
27;320
27;320
27;330
27;330
27;330
27;340
27;340
27;340
27;340
27;340
27;370
27;380
28;310
28;310
28;320
28;320
28;320
28;320
28;330
28;340
28;340
28;350
28;350
28;360
28;360
28;370
28;310
28;320
28;320
28;320
28;320
28;320
28;330
28;340
28;340
28;330
28;340
28;340
28;360
28;300
28;300
28;310
28;320
28;340
28;340
28;340
28;350
28;360
28;360
28;300
28;310
28;310
28;310
28;310
28;320
28;320
28;330
28;330
28;330
28;340
28;340
28;350
28;350
28;360
28;380
28;300
28;310
28;310
28;320
28;320
28;320
28;320
28;320
28;330
28;330
28;340
28;340
28;340
28;350
28;350
28;350
28;350
28;360
28;370
28;380
28;390
28;300
28;300
28;320
28;340
28;340
28;340
28;340
28;340
28;340
28;350
28;350
28;350
28;370
28;370
28;380
28;380
28;300
28;310
28;310
28;320
28;330
28;330
28;330
28;340
28;340
28;340
28;350
28;360
28;360
28;370
28;380
28;390
28;320
28;330
28;330
28;340
28;340
28;340
28;340
28;350
28;350
28;350
28;350
28;360
28;360
28;360
28;360
28;360
28;370
28;370
28;370
28;370
28;390
28;410
28;420
28;420
28;290
28;320
28;330
28;330
28;330
28;330
28;340
28;340
28;340
28;340
28;340
28;350
28;350
28;350
28;360
28;370
28;380
28;390
28;390
29;290
29;330
29;350
29;350
29;370
29;370
29;380
29;310
29;340
29;360
29;360
29;360
29;380
29;380
29;340
29;350
29;350
29;360
29;370
29;370
29;390
29;330
29;340
29;340
29;350
29;360
29;360
29;360
29;370
29;370
29;380
29;380
29;390
29;390
29;330
29;340
29;350
29;350
29;360
29;380
29;380
29;380
29;330
29;340
29;340
29;340
29;350
29;350
29;360
29;370
29;370
29;370
29;370
29;370
29;380
29;380
29;380
29;390
29;390
29;390
29;400
29;400
29;400
29;400
29;320
29;350
29;360
29;360
29;370
29;370
29;390
29;390
29;390
29;340
29;360
29;360
29;370
