length;weight
35;760
43;1604
39;1074
39;1146
39;1164
37;950
39;1002
38;994
37;894
37;970
39;964
38;1008
39;1150
37;954
36;902
26;320
26;268
27;312
24;202
28;308
38;994
40;1092
37;920
37;836
26;312
37;902
35;912
32;784
38;1036
27;314
38;1042
37;902
39;1086
37;984
28;312
30;408
35;764
34;712
38;984
39;970
40;1218
40;1106
27;320
35;784
33;806
27;330
28;320
30;368
37;978
38;1018
26;280
30;474
28;394
26;262
30;462
32;588
30;434
29;416
40;1136
34;820
29;406
29;424
30;480
40;1200
26;306
37;1020
28;404
30;450
29;390
27;286
35;832
29;420
30;470
26;264
30;468
32;594
30;432
31;474
41;1290
26;306
37;1088
25;270
27;294
34;838
30;472
25;370
28;400
29;422
32;598
32;578
27;390
29;392
30;460
32;598
29;426
30;484
26;312
37;924
35;964
29;412
41;1232
42;1350
39;1086
37;992
37;872
37;1028
28;374
29;410
39;1188
40;1138
31;558
31;512
30;424
29;384
31;554
29;414
41;1328
31;454
37;914
38;1012
39;1072
38;1022
32;542
39;1080
37;994
39;1110
40;1202
32;562
38;1020
30;430
39;1144
30;432
30;420
37;912
32;458
37;900
38;986
36;922
37;1010
41;1184
30;428
37;1022
31;524
38;1022
29;410
30;394
31;450
40;1218
31;430
37;1008
31;466
37;910
40;1108
38;1014
37;894
38;1050
30;396
30;432
40;1210
41;1160
33;580
32;534
31;446
30;406
32;576
30;436
42;1350
32;476
38;936
39;1034
40;1094
39;1044
33;564
40;1102
38;1016
40;1132
41;1224
33;584
39;1042
31;452
41;1166
31;454
31;442
38;934
33;480
38;922
40;1008
38;944
38;1032
42;1206
31;450
38;1044
32;546
39;1044
30;432
31;416
33;472
41;1240
32;452
39;1030
32;488
38;932
29;296
33;490
30;410
28;278
32;478
34;604
32;450
31;432
42;1152
37;836
31;422
31;440
32;496
43;1216
29;322
40;1036
31;420
33;466
31;406
29;302
37;848
32;436
33;486
28;280
33;484
35;610
32;448
33;490
44;1306
29;322
40;1104
28;286
29;310
37;854
33;488
28;386
31;416
32;438
35;614
35;594
30;406
31;408
33;476
35;614
32;442
33;500
29;328
39;940
38;980
31;428
29;410
29;435
30;435
30;395
30;425
31;480
31;475
31;425
31;465
31;450
31;495
31;480
31;470
31;450
31;475
32;525
32;515
32;480
32;505
32;515
32;495
32;570
32;555
32;550
32;460
32;570
32;560
32;485
32;620
32;550
33;675
33;530
33;605
33;635
33;580
34;665
34;615
34;555
34;680
34;660
34;645
34;595
34;745
35;670
35;810
37;835
38;935
38;995
38;1020
38;1015
38;960
39;960
39;1035
39;1025
39;1110
39;985
39;1030
39;995
39;950
39;1085
39;1040
40;1040
40;1010
40;1005
40;1040
40;1175
40;1090
41;1035
41;1110
41;1110
41;1135
42;1290
42;1135
42;1165
42;1260
42;1260
42;1280
43;1325
43;1340
43;1315
45;1530
