length;weight
27;220
20;89
22;90
27;215
25;144
20;78
27;162
23;110
18;49
27;163
22;96
20;70
21;70
24;120
23;112
20;75
18;50
22;90
22;90
28;226
22;100
25;159
23;124
21;94
20;60
21;85
23;110
21;99
22;86
21;90
21;72
20;89
24;140
21;76
20;70
25;180
20;75
22;100
26;179
22;118
24;120
23;100
18;45
26;196
24;130
21;83
21;86
21;98
27;211
15;44
25;149
23;126
23;105
30;295
24;112
23;93
24;130
24;108
21;87
22;100
24;119
23;98
23;114
21;86
26;168
24;137
23;108
24;132
23;100
23;76
24;110
24;96
24;112
24;106
27;201
23;108
27;188
26;135
24;111
23;95
26;116
23;104
26;150
23;87
22;102
24;108
23;92
25;146
22;91
23;116
27;180
23;105
22;91
23;98
23;115
21;80
23;124
21;67
22;104
23;102
21;34
20;60
23;88
23;79
33;250
20;42
21;96
21;100
22;100
22;110
21;180
22;100
22;107
21;96
20;100
22;126
20;112
20;87
23;140
21;95
20;90
21;100
19;86
21;113
20;87
20;97
19;83
21;100
20;100
20;90
20;67
21;104
21;130
20;95
22;106
22;120
20;98
20;84
22;98
21;118
21;106
35;460
22;160
21;112
22;120
23;100
24;89,7
22;119
21;96
20;100
31;325
22;112
21;108
26;185
26;200
21;89
22;125
33;495
21;110
22;129
21;114
20;89
22;130
27;122
22;122
21;100
21;103
23;135
22;130
21;108
21;103
21;92
21;84
20;67
24;127
23;131
22;113
20;102
23;128
24;140
20;95
23;158
23;119
22;105
21;89
24;150
22;122
25;149
22;114
21;79
25;150
20;105
20;93
20;83
26;190
23;119
20;72
21;100
21;105
19;66
41;741
25;156
22;127
22;114
21;102
23;121
24;136
22;106
24;129
22;144
25;161
24;117
24;147
21;106
24;142
22;99
23;135
26;206
23;138
23;134
22;106
27;285
23;126
24;138
26;234
23;122
23;141
26;199
22;105
26;168
25;148
25;152
23;158
22;105
21;139
24;147
25;155
23;110
26;173
23;135
23;123
23;131
26;164
23;116
23;130
23;127
26;172
21;95
20;83
22;110
22;124
27;254
24;129
27;206
26;196
28;265
25;144
28;230
26;174
21;108
25;143
25;167
21;96
42;978
27;210
32;341
22;119
26;190
21;90
23;117
22;98
23;98
29;232
25;147
26;191
28;227
22;103
29;246
29;280
24;141
23;127
22;115
29;280
28;212
26;186
22;90
22;104
22;100
21;84
21;87
29;276
21;90
22;110
21;88
30;331
26;180
21;100
27;210
26;180
23;107
22;139
28;242
28;248
29;240
29;276
22;232
28;229
26;175
28;260
28;230
27;215
26;170
28;238
29;259
30;258
28;228
28;231
26;199
29;207
27;215
27;202
27;201
29;267
28;237
27;223
26;203
29;251
29;276
26;189
27;220
27;227
27;226
27;211
25;168
26;180
26;189
32;337
27;224
31;309
27;198
29;253
27;227
26;210
28;254
28;231
25;180
29;295
24;160
25;172
25;170
26;160
24;110
23;106
24;135
23;114
23;91
23;114
23;123
23;94
22;95
25;101
21;58
25;132
25;123
24;127
22;110
23;98
25;153
26;185
23;113
27;138
23;96
22;76
29;235
24;138
25;145
22;81
24;135
24;135
25;116
22;147
22;71
23;97
20;88
24;123
25;160
24;190
25;128
23;110
24;117
24;151
21;109
23;117
24;159
22;114
24;121
22;90
28;188
25;171
22;93
21;93
21;130
22;102
22;109
22;135
23;140
20;102
21;113
21;104
20;107
20;124
21;127
22;134
22;117
21;118
22;133
22;127
22;137
21;94
21;120
23;132
21;122
22;129
22;111
22;123
23;146
20;104
21;128
22;119
22;126
21;121
23;167
22;110
21;116
21;109
21;104
21;112
22;133
22;108
22;128
22;130
22;126
22;125
23;152
22;127
22;132
22;130
22;130
22;129
22;130
37;564
33;433
30;314
36;551
36;498
33;419
33;419
35;472
35;520
37;510
40;690
31;360
31;347
34;368
33;377
34;466
22;117
34;416
32;338
27;220
23;191
31;360
24;151
25;192
24;177
24;167
26;225
22;142
22;145
23;143
24;157
21;122
23;152
26;207
25;190
26;208
25;193
28;270
28;260
21;125
22;140
23;146
21;125
25;212
23;140
26;185
22;118
22;118
26;204
25;210
22;130
27;237
23;153
24;152
24;177
24;183
21;117
24;166
35;526
25;207
24;190
23;157
25;172
23;147
24;160
25;192
24;151
26;209
41;792
37;598
24;167
23;145
24;165
24;157
36;523
26;220
26;212
27;226
25;198
26;221
27;226
25;197
23;163
26;179
25;200
25;180
27;259
25;197
25;208
27;268
23;189
25;183
26;213
24;163
21;109
25;176
23;195
27;223
27;240
24;185
25;229
26;225
26;187
26;270
26;236
23;141
27;245
27;225
25;200
29;306
24;165
23;167
25;186
26;205
24;170
27;230
25;195
26;220
25;200
23;169
24;183
24;167
24;177
25;182
30;247
38;676
34;466
25;187
25;182
27;262
26;198
28;271
25;185
24;163
23;126
27;234
26;220
26;204
26;238
27;223
25;274
24;272
29;392
27;311
25;191
25;175
27;235
34;422
22;115
25;174
26;200
26;215
26;206
25;182
25;201
28;162
24;170
25;188
25;174
23;140
39;651
26;208
28;367
27;302
24;155
24;151
24;161
25;167
32;350
25;167
22;126
26;171
26;220
22;128
25;131
24;163
36;568
40;671
37;565
32;400
29;373
27;234
28;227
25;166
24;162
24;152
25;179
25;175
28;244
27;195
28;257
24;151
26;171
26;160
27;263
27;306
26;280
24;146
37;550
24;157
27;193
26;190
30;352
27;234
26;197
26;181
25;178
37;518
25;170
24;180
26;193
30;292
30;287
24;135
27;197
24;171
26;210
27;229
27;208
27;226
26;209
29;271
27;203
30;282
30;293
25;190
28;227
28;268
26;225
24;134
24;144
26;193
25;176
26;196
26;190
24;148
24;148
23;135
25;166
27;208
24;154
23;130
25;183
30;314
25;159
41;543
25;186
26;187
27;212
26;173
24;143
25;151
23;132
25;160
26;189
37;448
25;162
25;152
27;223
23;110
23;134
25;167
26;176
26;175
28;268
25;191
24;160
27;206
23;132
26;194
26;200
24;137
26;190
24;160
25;190
25;183
26;177
26;190
26;176
25;181
25;168
25;173
25;175
38;580
40;746
25;186
24;156
21;105
23;161
24;162
34;477
35;416
24;164
21;104
23;140
36;532
26;221
24;158
23;148
23;136
25;170
24;159
26;306
26;315
23;132
24;161
23;146
24;157
24;154
23;148
24;162
24;153
23;168
22;130
24;151
24;167
24;150
24;148
24;167
22;133
24;182
24;173
27;224
24;143
22;128
23;149
23;144
23;136
25;192
23;144
27;126
22;122
24;167
22;124
26;185
22;136
22;125
22;122
22;131
28;236
23;134
19;79
19;74
17;61
19;76
18;62
20;90
35;441
31;306
26;199
24;180
37;330
24;161
35;466
23;136
32;352
23;126
26;185
27;190
21;112
27;215
37;577
27;199
19;68
26;159
29;247
23;149
22;110
27;138
21;111
34;429
21;107
21;99
22;124
22;120
19;79
21;88
22;117
24;150
22;101
25;150
20;87
25;175
26;157
22;117
20;79
23;128
19;64
21;93
18;63
22;106
32;318
24;152
24;160
28;220
21;100
23;106
40;723
22;134
22;112
25;153
22;126
21;122
22;121
20;85
21;107
22;116
22;117
22;111
21;117
26;175
20;80
22;117
23;151
22;106
24;117
22;115
20;93
20;70
22;117
24;140
21;90
21;108
20;84
23;134
23;127
23;138
22;140
22;118
24;148
25;149
22;117
21;100
22;109
23;121
23;114
21;96
22;101
23;128
22;101
26;177
24;125
21;82
21;106
22;122
20;72
22;106
23;116
22;117
23;138
32;358
35;594
40;717
37;581
32;378
32;417
35;555
21;130
22;123
25;156
21;98
25;174
26;185
26;197
26;205
22;105
31;341
22;112
27;254
24;139
24;181
24;182
21;110
22;127
20;100
22;138
21;118
22;119
36;522
26;196
21;100
23;142
20;100
21;104
25;170
23;127
20;86
26;179
25;184
26;204
21;106
20;67
20;77
21;106
20;81
27;216
27;204
21;106
20;92
25;157
21;94
26;163
20;84
21;103
20;83
23;108
27;207
25;176
21;92
26;196
20;102
20;97
20;92
26;186
26;176
25;201
20;87
26;207
28;217
22;126
23;119
25;178
26;174
22;124
28;206
25;154
25;169
26;192
22;140
25;164
21;106
22;120
22;128
20;102
21;96
23;141
23;125
20;120
25;188
20;74
22;112
22;129
22;121
22;100
21;136
22;122
22;133
18;100
21;120
19;90
19;97
22;98
23;140
21;106
21;117
22;113
23;144
22;140
22;115
20;124
23;154
21;119
20;87
21;124
19;92
19;101
22;115
21;126
21;112
21;106
20;109
20;89
17;77
22;100
20;100
22;133
21;123
19;100
20;107
21;128
19;100
19;48
18;64
18;45
18;50
16;34
17;46
16;29
16;41
17;45
15;35
17;38
18;54
17;45
17;39
16;32
16;35
17;39
16;35
17;42
17;39
17;30
17;46
17;47
18;46
17;33
16;40
17;44
17;39
18;38
18;58
17;46
18;49
22;93
25;139
23;120
23;142
22;72
23;142
25;138
22;110
28;182
23;192
22;100
30;280
27;214
23;153
27;246
24;127
25;164
26;135
24;123
24;133
24;119
22;110
25;176
24;144
23;138
28;164
22;123
24;150
27;207
27;108
22;118
22;120
21;108
27;151
22;127
22;124
23;124
21;107
23;138
23;133
23;131
22;125
22;124
25;171
24;147
24;157
22;126
23;119
23;131
24;152
24;151
22;127
23;139
22;128
22;122
22;116
28;285
17;42
19;75
19;78
18;61
22;109
22;112
22;117
18;56
22;108
17;49
17;37
17;47
17;55
17;51
17;66
16;42
17;53
18;62
18;60
18;62
17;56
17;45
18;53
21;98
18;59
17;64
17;54
17;55
17;58
22;117
18;54
17;53
17;50
16;47
17;61
18;60
16;40
19;68
19;42
18;59
17;49
18;57
22;116
18;56
18;52
22;107
18;67
18;60
16;47
17;51
27;234
28;234
27;225
26;195
27;190
26;182
19;77
22;107
26;178
24;170
24;149
19;78
27;206
20;98
22;111
26;179
27;110
22;118
22;117
26;208
25;165
22;118
25;162
23;130
25;167
22;109
21;109
27;199
21;100
23;134
23;122
22;127
28;200
22;117
23;138
21;132
22;117
23;129
24;154
22;112
23;147
23;130
22;128
23;146
21;98
26;185
27;150
21;97
26;175
22;104
22;109
26;214
23;157
23;131
23;137
22;132
27;239
25;200
24;136
25;167
24;145
26;174
27;240
32;425
26;200
26;186
22;148
25;190
26;209
26;182
22;224
26;189
26;225
25;205
26;171
28;209
26;182
26;195
22;107
25;210
27;227
24;170
26;218
26;212
23;128
25;189
22;109
26;194
25;174
26;188
28;287
26;188
22;119
22;116
24;140
25;157
24;149
26;195
27;218
27;129
26;203
24;137
24;147
24;140
26;186
25;155
25;191
24;165
26;170
24;150
24;147
22;120
23;139
24;154
25;172
22;115
26;190
23;131
25;180
24;150
24;166
24;154
26;200
27;149
25;192
23;141
25;172
26;195
24;180
26;201
27;140
27;160
27;145
23;134
27;168
26;197
26;179
26;187
24;149
22;109
23;133
27;110
23;150
23;130
23;143
24;136
22;128
23;137
27;156
27;160
25;191
25;171
25;169
25;168
27;159
27;162
28;360
23;127
23;150
21;102
22;107
22;107
23;118
24;126
21;130
22;115
27;170
22;122
23;120
20;84
23;117
24;156
21;93
22;101
23;171
23;105
