length;weight
14;52
17;50
14;49
14;50
14;63
20;130
20;180
18;133
14;54
19;148
22;230
20;187
20;163
22;259
21;188
19;157
22,4;220
26,9;400
20,8;200
21,8;220
25;330
25,9;350
19,6;160
16,8;90
20,2;170
21;200
22;230
19,3;140
19;140
21,5;200
17,4;110
17;100
17,9;100
17,1;90
21,5;210
20;160
22;230
18,8;140
24,4;330
22,4;240
21,5;200
19,6;150
17;100
21,6;190
22;190
22,4;230
21,2;210
20,8;170
16,5;80
19,3;160
16,8;100
17,8;110
17,8;130
17,9;110
16,9;100
22,4;240
27;430
22,6;220
22;220
21;200
23,3;260
20;170
21;190
21;200
23,3;260
23;250
26;340
20,4;170
18,8;120
19,8;130
23;220
19,7;160
21;180
20,8;190
21,9;210
23,3;260
20,9;180
20,3;190
22;190
20,5;180
20,3;150
13,3;40
25;330
18;110
22;230
20,3;180
21,1;200
22,7;270
21,5;230
22;250
27,8;550
18,5;140
23,8;300
22,2;200
19,6;180
21,5;205
21;165
19,5;135
21,5;170
20,5;130
19,6;140
21;165
20,6;175
21;155
19;115
22,2;205
21;180
22,1;200
25,9;380
26,7;370
23,9;280
23,4;275
25,1;320
23,1;235
31;570
20,7;165
22,5;215
22,5;230
21,4;200
20,9;200
21;200
24,2;300
21,7;225
24,3;310
22,5;250
17,3;93
22,3;200
21;195
19,2;140
27,2;425
22,1;215
21,6;220
22,1;205
20,3;175
20;160
20,1;170
24,8;370
20,8;175
26,5;355
25;370
23,7;275
19,9;155
19,6;140
21,7;210
19,3;130
17,1;110
19,4;140
17;125
19,9;150
18,7;125
19,7;140
18,5;140
21,6;225
13;42
11,5;30
20;165
12,3;37
17,5;115
18,8;145
17,8;105
20;150
18,4;125
17,9;115
17,4;110
18,6;135
17,8;120
24,6;330
23,8;295
20,4;180
11,6;31
21,9;215
23,4;295
22,3;250
22,9;285
21,8;225
23,3;265
17,8;120
22,3;240
22,8;245
21,8;205
19,1;155
29;535
27,2;455
23,2;275
18,5;150
19,1;150
24,5;305
24,8;360
23,1;255
25,3;375
23,4;265
22,3;235
20,2;175
27,2;465
23,7;310
25,4;345
22,2;230
25,7;365
22,4;220
22,9;235
27;395
22,5;215
21,3;240
23,5;245
22,3;220
19,8;155
23,9;280
24,3;260
20,5;180
19,4;135
15,4;60
17;100
16;84
16;83,4
15,7;86
20,1;160
23,5;245
23;225
22,6;205
22,2;210
20,2;170
20,9;195
22,8;220
22,5;230
23;260
20;180
22,6;225
20,4;175
20,1;155
22;215
22;210
21,6;205
21,8;205
20;155
22,3;235
21,2;175
23,9;260
24,4;285
21,9;200
24,4;280
27;350
23;245
24,4;295
24,8;295
23,1;255
23,8;260
23,2;240
20,8;175
24,2;285
19,8;160
23;205
23,8;245
23,8;260
23;235
20,8;180
22,4;225
22,7;220
19,4;140
21;190
25,6;310
24;240
20,1;155
25,7;340
21,9;190
20,9;180
17,3;95
