length;weight
32;466
40;823
37;800
31;400
30;362
38;663
42;852
33;550
39;570
31;380
39;862
29;326
37;620
27;299
38;508
30;412
42;1190
34;556
36;537
38;677
39;661
30;260
32;505
33;480
29;384
40;978
33;408
31;462
31;512
44;918
39;667
39;830
34;460
33;560
39;747
33;456
41;862
37;573
36;508
39;605
28;347
29;315
30;390
27;207
28;306
29;312
25;75
24;73
24;210
28;276
28;290
30;350
31;360
24;177
25;312
27;250
22;241
28;470
16;63
43;1150
27;298
37;573
38;718
35;761
35;903
24;170
27;308
40;781
40;829
37;713
30;385
30;374
27;316
40;827
41;1169
46;1208
