length;weight
82;460
86;520
81;480
81;430
89;620
74;360
76;370
80;390
85;680
75;380
68;250
73;350
82;480
74;380
71;330
76;470
83;510
74;380
74;310
87;620
78;440
85;520
82;500
86;560
61,5;700
79;490
85;630
77;500
74;460
74;330
79;440
75;490
81;460
83;530
73;310
79;440
71;310
81;510
69;270
79;410
82;440
84;600
87;640
78;430
74;360
88;430
78;330
74;370
74;360
70;270
83;490
72;320
77;440
85;510
72;270
80;480
74;300
73;330
76;480
83;550
76;270
72;330
83;510
83;490
82;520
77;380
78;440
72;340
73;380
74;410
73;520
72;290
73;280
83;430
73;310
74;340
73;310
84;560
79;480
80;390
81;420
86;530
79;420
75;320
73;320
69;350
70;250
99;1070
85;530
74;300
70;280
74;360
73;370
62;180
76,5;400
73;380
83,5;530
76;350
82;410
80;430
84;530
130;2540
31;20
32;50
128;3210
139;3350
148,5;4140
