length;weight
45,6;675
57,8;1470
52,7;870
48,8;795
62,5;825
61,5;1595
60,9;1620
50,1;880
47,1;655
60,3;1315
52,8;975
57,2;1045
52,9;1000
51,2;865
53,9;955
59;1405
57,2;1205
58;1000
50,9;875
45,3;980
47,4;700
50,4;710
58,1;1185
52,5;945
56;1145
48,7;725
54;910
54,4;1015
55,3;1095
35,5;320
34,4;435
37,2;335
36,4;280
33,9;240
33,9;230
25;105
34,5;275
37,2;325
26,2;120
38,9;360
35,3;285
50,9;795
36,1;320
35,4;285
33,9;245
32,8;220
29,9;180
26,6;130
33,8;255
29,4;160
28,4;155
