length;weight
17;110
17;115
17;116
17;118
17;126
17;130
18;112
18;117
18;130
18;138
18;138
18;147
19;104
19;122
19;145
19;149
19;150
19;154
19;155
19;157
19;160
19;184
19;191
20;120
20;136
20;140
20;149
20;156
20;171
20;179
20;179
20;182
20;185
20;188
20;195
20;206
20;208
20;212
20;219
21;142
21;148
21;151
21;157
21;159
21;161
21;167
21;172
21;177
21;179
21;186
21;193
21;196
21;204
21;212
21;212
21;218
21;221
21;223
21;225
21;228
21;230
21;232
21;233
21;236
21;237
21;239
21;240
21;243
21;250
21;255
22;160
22;172
22;187
22;205
22;235
22;236
22;238
22;240
22;245
22;247
22;250
22;255
22;258
22;266
22;293
23;184
23;204
23;230
23;238
23;284
23;361
24;226
24;288
24;323
25;340
25;360
27;457
15;90
15;90
15;100
16;70
16;80
16;70
16;70
16;70
16;70
16;70
16;70
16;80
16;80
16;80
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;90
16;100
16;100
16;100
16;100
16;100
16;100
16;110
16;110
16;130
16;140
16;160
17;70
17;80
17;80
17;80
17;80
17;80
17;90
17;90
17;90
17;90
17;90
17;100
17;100
17;100
17;100
17;100
17;100
17;100
17;100
17;110
17;110
17;110
17;110
17;120
17;120
17;130
17;130
17;130
17;130
17;130
17;130
17;150
18;120
18;120
18;120
18;120
18;80
18;90
18;100
18;100
18;110
18;120
18;120
18;120
18;130
18;130
18;130
18;130
18;130
18;140
18;140
18;140
18;150
19;130
19;130
19;130
19;130
19;130
19;140
19;140
19;150
19;160
19;160
19;160
19;160
19;180
19;180
20;170
20;150
20;200
21;180
21;170
21;180
21;190
21;200
21;240
22;210
22;230
24;360
24;370
25;414
19;138
18;110
28;524
23;336
20;186
24;356
22;278
26;452
22;290
23;298
21;216
21;218
22;254
24;322
24;398
17;118
22;228
24;340
23;302
23;304
20;168
23;366
23;336
23;282
23;284
23;318
21;226
23;306
22;274
25;348
25;236
25;346
25;372
18;142
25;362
18;136
24;336
22;250
23;328
20;224
25;392
21;234
20;202
23;312
25;332
21;226
23;288
22;240
22;266
20;200
25;394
19;158
17;100
29;544
23;316
21;206
23;346
23;298
25;432
23;310
23;288
22;236
21;198
22;274
23;312
25;418
17;98
22;248
23;330
24;322
22;284
21;188
22;346
24;356
23;272
24;304
23;298
22;246
23;296
23;294
24;328
25;256
24;336
26;392
18;122
25;382
18;126
25;356
21;230
23;348
20;214
26;412
21;214
21;222
23;302
26;352
20;206
23;308
