length;weight
24;160
21;140
23;150
23;180
21;140
22;160
19;110
22;180
21;150
23;170
22;140
20;100
18;80
27;260
20;130
20;100
23;150
20;100
20;100
21;130
19;80
21;160
19;100
20;80
19;80
20;120
19;80
21;100
21;130
19;90
22;170
19;90
20;100
19;110
21;120
20;110
19;120
19;90
19;70
20;130
20;150
22;160
19;90
19;50
20;90
21;90
20;90
21;130
18;70
20;100
19;100
20;110
20;130
21;150
20;80
19;100
19;70
19;90
20;100
21;130
30;340
31;400
27;340
31;430
24;160
25;230
24;220
25;220
28;290
29;350
28;350
29;330
25;250
23;170
22;140
22;170
23;160
23;180
21;110
23;170
22;160
21;140
21;120
22;160
21;130
22;160
22;140
21;130
23;180
21;120
22;160
22;120
22;160
21;140
23;160
21;140
22;160
22;170
20;90
22;160
21;130
21;140
22;140
22;120
22;160
21;160
24;210
24;220
22;160
21;140
22;180
21;140
22;150
20;120
21;100
22;130
20;90
21;140
31;400
32;450
32;410
28;340
25;230
22;160
23;190
24;190
23;190
22;160
21;160
21;150
22;160
21;130
22;140
21;150
25;210
22;150
22;140
25;230
21;130
23;200
24;200
24;210
23;160
22;120
22;140
22;140
22;150
21;120
25;180
21;130
24;190
20;90
24;200
24;170
22;130
21;130
21;130
21;120
22;160
21;100
21;110
21;120
22;160
22;130
22;100
22;130
20;140
21;90
21;120
21;110
21;130
21;130
21;120
21;120
21;100
19;110
20;110
21;120
22;120
21;110
20;130
22;140
21;130
21;120
32;480
33;470
32;470
34;530
35;480
34;560
33;480
33;480
33;540
30;340
32;390
32;450
30;350
32;460
29;310
28;300
29;330
29;300
30;380
29;280
26;230
26;220
26;220
23;145
27;230
22;120
25;170
26;200
24;180
23;170
24;170
24;200
23;180
24;190
24;180
25;200
21;110
15;40
23;170
24;200
22;130
23;150
23;150
22;130
23;150
23;170
20;110
14;40
29;250
32;400
33;495
32;480
33;440
31;400
27;270
27;270
31;440
31;360
31;400
31;410
36;630
34;540
31;430
35;520
29;340
34;570
33;500
33;480
35;610
32;450
32;520
32;470
31;400
28;250
22;130
27;220
25;200
24;200
24;160
24;180
25;200
12;20
24;180
11;20
27;260
24;190
24;180
25;210
24;190
23;160
23;160
24;180
26;230
25;200
27;230
27;280
27;300
24;190
23;140
24;160
24;160
24;170
23;140
31;380
33;430
29;330
31;390
25;200
23;150
26;240
26;220
26;220
25;210
23;160
24;170
23;150
24;180
26;230
24;150
22;140
23;140
24;170
26;220
24;150
26;220
23;150
24;170
24;170
25;170
23;130
25;200
24;170
22;130
24;150
22;140
