Species;a;b
Marine fishes;0,01;2,98
Marine fishes;0,0149;2,954
Marine fishes;0,0139;2,961
Marine fishes;0,0034;3,294
Marine fishes;0,0124;2,903
Marine fishes;0,0187;2,79
Marine fishes;0,015;3
Marine fishes;0,0127;3
Marine fishes;0,00719;3,033
Marine fishes;0,0049;3,14
Marine fishes;0,01;3,03
Marine fishes;0,0121;2,918
Marine fishes;0,0127;2,851
Marine fishes;0,0145;2,77
Marine fishes;0,017;2,8
Marine fishes;0,00339;3,273
Marine fishes;0,00431;3,333
Marine fishes;0,0061;3,07
Marine fishes;0,0067;3,04
Marine fishes;0,0078;3,016
Marine fishes;0,01072;2,888
Marine fishes;0,0144;2,814
Marine fishes;0,0156;2,785
Marine fishes;0,0113;2,897
Marine fishes;0,0269;2,633
Marine fishes;0,004;3,249
Marine fishes;0,0095;2,9467
Marine fishes;0,0086;2,9849
Marine fishes;0,0079;3,0128
Marine fishes;0,0056;3,128
Marine fishes;0,0095;2,9467
Marine fishes;0,0079;3,0128
Marine fishes;0,0086;2,9849
Marine fishes;0,0134;2,841
Marine fishes;0,006;3,11
Marine fishes;0,0032;3,29
Marine fishes;0,0044;3,19
Marine fishes;0,00785;3
Marine fishes;0,00562;3,136
Marine fishes;0,00718;3,01
Marine fishes;0,0053;3,06
Marine fishes;0,00288;3,26
Marine fishes;0,00425;3,28
Marine fishes;0,0146;2,96
Marine fishes;0,0104;3,12
Marine fishes;0,00575;3,16
Marine fishes;0,00065;3,1
Marine fishes;0,0068;2,99
Marine fishes;0,00611;3,2901
Marine fishes;0,01571;2,804
Marine fishes;0,01799;2,84
Marine fishes;0,0087;2,95
Marine fishes;0,0043;3,12
Marine fishes;0,0062;3,076
Marine fishes;0,004;3,16
Marine fishes;0,0333;2,272
Marine fishes;0,0031;3,439
This study;0,01269725;2,986576
This study;0,00883048;3,10234
This study;0,02836838;2,816515
